name,price,location,make,latitude,longitude
2004 Ford F-150 SuperCab XLT – LOW MILEAGE!,8805.0,Cary,Ford,35.7956007012722,-78.7941002165983
2012 Volkswagen Passat SE Super Clean 2nd Owner,6500.0,Cary,Volkswagen,35.8071985129606,-78.8869978746225
Low miles good car,5600.0,Cary,miles,35.8052006091291,-78.816496563851
2006 Nissan Maxima,3000.0,Moncure,Nissan,35.6256998074178,-79.0776965634812
2008 Chevy Colorado Z71 crew cab 4wd,5500.0,Raleigh,Chevy,35.7788565826682,-78.6444304624889
1970 Bronco,40000.0,Raleigh,Bronco,35.8489992218599,-78.6549969501462
2019 Toyota Camry SE,23995.0,Cary,Toyota,35.8071985129606,-78.8869978746225
Nissan hardbody pickup,6500.0,Garner,hardbody,35.6813007777699,-78.5975000624501
2004 Chevrolet Tahoe LT 4WD   Sierra-Silverado-Tahoe-Yukon,7000.0,Rolesville,Chevrolet,35.9277138826241,-78.3500304234217
2020 Mazda 6 Mazda6 Grand Touring,18450.0,Raleigh,Mazda,35.8262992069758,-78.6491023603502
2016 GMC Denali 2500hd duramax,38000.0,Princeton,GMC,35.4557989135634,-78.1674029910225
2017 chevy colorado utility/work 4 door truck with power lift gate 2wd/2.5 liter,7500.0,Goldston,chevy,35.5720010569454,-79.3349013284061
"2017 FORD TRANSIT 250 - $7,500 or BEST OFFER (RALEIGH,NC)",7500.0,Raleigh,FORD,35.7644994062385,-78.7112023909721
1981 Ford Custom F100,7900.0,Durham,Ford,35.9631009019651,-78.9315035172724
In hand,18000.0,Cary,hand,35.7299013497814,-78.7735035297801
"For Sale: 2008 Pontiac G6 GT Hardtop Convertible – Rare Model, Runs Gr",2500.0,Zebulon,Sale:,35.8321015505668,-78.3174010499485
2006 Linclon town car,3000.0,Raleigh,Linclon,35.8333992999727,-78.5799010908158
"Chrysler Sebring Touring 2010 4cyl  $2,995",2995.0,Raleigh,Sebring,35.8949017356143,-78.7051032552432
2016 Kia Forte5,6500.0,Raleigh,Kia,35.867300639751,-78.5380980900853
2004 Corvette Convertible 38k miles,25000.0,Garner,Corvette,35.6813007777699,-78.5975000624501
Corvair,3000.0,Winnabow,,34.1505666788579,-78.0555450136429
2002 Honda Odyssey Mechanics special,600.0,Cary,Honda,35.7299013497814,-78.7735035297801
1964 Plymouth Belvedere,6000.0,Durham,Plymouth,35.9780997911252,-78.8438994163172
2002 GT Mustang  5 speed,8500.0,Angier,GT,35.4770951818495,-78.704061045014
2013 Chrysler Town and Country Handicap Wheelchair Accessible Van,15800.0,,Chrysler,35.9731001614052,-78.4508016674661
2006 Mustang 6 cylinder,7000.0,Roxboro,Mustang,36.3950457622818,-79.007837538398
Stunning Low Mileage Volvo XC40,20500.0,Apex,Low,35.7014259203228,-78.7925704192854
2006 Honda Civic DX,4100.0,Apex,Honda,35.7225004539421,-78.8407985687302
2003 Dodge Dakota Crew Cab 2WD 4.7 V8,5900.0,Raleigh,Dodge,35.7076006864806,-78.6563015750456
2015 Freightliner,20000.0,Oak Island,Freightliner,33.9161003169893,-78.1255002956357
Honda CRV 11/2018,18000.0,Raleigh,CRV,35.7644994062385,-78.7112023909721
2014 Ford Mustang GT,29000.0,Sanford,Ford,35.513800577077,-79.1487989069797
2006 Acura TL second generation,3500.0,Raleigh,Acura,35.7204206171459,-78.6417232369071
1999 Gen3 4Runner Limited,4250.0,Cary,Gen3,35.7956007012722,-78.7941002165983
2004 Land Rover Discovery Westminster Edition,6000.0,Clayton,Land,35.6348012419929,-78.4509993379054
IMMACULATE 2009 MECEDES-BENZ E350,9800.0,Bynum,2009,35.76939991426,-79.1754981672736
FOR SALE: 1992 MITSUBISHI FUSO Inline 6 Cylinder,6500.0,Spring Hope,SALE:,35.9176017504984,-78.0855983688693
2009 Chevy Corvette,31500.0,Oxford,Chevy,36.3312990509568,-78.6134007871797
2021 Ram 2500 Mega Cab,55000.0,Oxford,Ram,36.3312990509568,-78.6134007871797
1954 Chevy Truck 3100,12000.0,Oxford,Chevy,36.3312990509568,-78.6134007871797
2010 Subaru Legacy 2.5i Limited,4650.0,Cary,Subaru,35.8343996842829,-78.8465974745744
BMW Z3 5 Speed,10950.0,Raleigh,Z3,35.8479988375497,-78.6316964754928
Mercury Marquis,1900.0,Henderson,Marquis,36.3301004232495,-78.3981015824305
AM General Humvee (Helment Top),27995.0,Danville,General,36.5779000859679,-79.4410967638967
2011 BMW 3 Series 328i xDrive Sedan AWD,7500.0,Cary,BMW,35.7956007012722,-78.7941002165983
"2024 Jeep Wrangler Rubicon 4xe – $50,000 OBO",50000.0,Raleigh,Jeep,35.8949017356143,-78.7051032552432
2003 Ford F-150 XL (5.1L V8) – 4 Door Extended Cab,6300.0,Youngsville,Ford,36.0249007027024,-78.474399507215
1996 MERCURY GRAND MARQUIS LS PREMIUM (LOW MILES)!!!,4500.0,Smithfield,MERCURY,35.4910014404943,-78.3570027468302
2019 Nissan Titian SV 4x4,21500.0,Raleigh,Nissan,35.8949017356143,-78.7051032552432
"2004 Nissan Xterra XE, low miles",5600.0,Cary,Nissan,35.8176005617306,-78.7908016985719
Low Mileage 2019 Lexus ES350 Clean Title,24950.0,Raleigh,Mileage,35.8887011863558,-78.6393007713494
2011 Chevy Silverado LS,9000.0,Chapel Hill,Chevy,35.9202998087555,-79.0372004794813
2018 Audi Q7,19500.0,Bynum,Audi,35.76939991426,-79.1754981672736
2015 Ford Transit 250 (high roof),5800.0,Knightdale,Ford,35.7920013804033,-78.4759980594634
2014 Hyundai Sonata GLS,3900.0,Raleigh,Hyundai,35.8887011863558,-78.6393007713494
FORD L7000 CUMMINS DIESEL/Box/Lift,21000.0,Mebane,L7000,36.0979012553761,-79.2718994622147
2014 M2 Freightliner,13500.0,Raleigh,M2,35.7666989912139,-78.6007991534343
2023 Audi RS 3 TFSI Quattro 2.5t S Tronic - 17k miles - Like New -,61500.0,Apex,Audi,35.7225004539421,-78.8407985687302
2008 Toyota Camry XLE,4500.0,Raleigh,Toyota,35.8333992999727,-78.5799010908158
Low Mileage 2018 Honda CRV EXL Clean Title,17950.0,Raleigh,Mileage,35.8887011863558,-78.6393007713494
1982 International model 1954,9500.0,Carrboro,International,35.9162014416472,-79.0999015428303
Mercedes SL 550 AMG❗️Lambo doors❗️black or grey matt  read ❗️,16900.0,Raleigh,SL,35.8131985269909,-78.6226970274052
