name,price,location,make,latitude,longitude
2011 Nissan Rogue Sl Full Equipped,5500.0,Raleigh,NISSAN,35.8333992999727,-78.5799010908158
2003 Lexus Gx470 (Toyota Landcruiser / Prada),8200.0,Holly Springs,LEXUS,35.6263008401448,-78.8457981984502
2020 Jaguar I-Pace Se Ev400 Black Perfect! 19K,34000.0,Raleigh,JAGUAR,35.7644994062385,-78.7112023909721
2012 Mercedes Benz Gl 450,5000.0,Durham,MERCEDES,35.9780997911252,-78.8438994163172
1994 Corvette 6Speed 55K,15000.0,Clayton,CORVETTE,35.6348012419929,-78.4509993379054
Bmw M6 (Low & Rod Bearings Done),18500.0,Raleigh,BMW,35.7666989912139,-78.6007991534343
2011 Kia Forte Koup 6 Speed!,2995.0,Wendell,KIA,35.7980019673914,-78.3926011875976
2011 Honda Accord Coupe,6900.0,Wendell,HONDA,35.7980019673914,-78.3926011875976
2005 Ford F350 4X4 6.0 Diesel Work Truck,10500.0,Wendell,FORD,35.7980019673914,-78.3926011875976
2010 Nissan Altima,2000.0,Cary,NISSAN,35.7750996984057,-78.763501405551
1991 Chevrolet Pickup Truck,2500.0,Raleigh,CHEVROLET,35.8818044933761,-78.6520364772189
2015 Vw Tiguan Sel 2.0 Tsi 4Motion,6000.0,Macon,VW,36.4164617787471,-78.1199196867114
2006 Lexus Rx330,5500.0,Raleigh,LEXUS,35.8173994535445,-78.5939007415813
2018 Ford Ecosport · Se Sport Utility 4D,10500.0,Cary,FORD,35.7682012865527,-78.7630980432633
Range Rover Sport,9500.0,Cary,RANGE,35.7299013497814,-78.7735035297801
2007 Dodge Ram1500 4X4 Hemi 5.7,8699.0,Louisburg,DODGE,36.0578016581704,-78.2586001103108
2010 Mazda Cx-9,4500.0,Durham,MAZDA,36.0217992821575,-78.9477972910495
Ford Mustang,3000.0,Battleboro,FORD,36.0067012712988,-77.7073969497329
2006 Dodge Grand Caravan Handicap Wheelchair Accessible Van,5900.0,,DODGE,35.9731001614052,-78.4508016674661
Honda Crv For Sale,6000.0,Durham,HONDA,36.0217992821575,-78.9477972910495
Bmw 335D,6950.0,Lumberton,BMW,34.6266447592578,-79.007297812155
"2014 Chevrolet Silverado 1500 Crew Cab, Ltz",19250.0,Rougemont,CHEVROLET,36.2393003637132,-78.901903371662
2008 Hyundai Santa Fe( Drive Now),2300.0,Durham,HYUNDAI,35.9111983741804,-78.9178018045604
"1979 Sierra, 2500 Hd Long Bed, $8000Obo",8000.0,Durham,"SIERRA,",36.0314473184692,-78.9800181456147
2009 Toyota Camry Hybrid Lxe,6000.0,Durham,TOYOTA,36.0917986819004,-78.9298980895306
2018 Range Rover Sport,20000.0,Raleigh,RANGE,35.9457007466857,-78.6432965790124
2000 F150 190000Mi,7500.0,Sanford,FORD,35.4582442974329,-79.1659796194236
2013 Ford Fusion Titanium !!Only 54K !!,7800.0,Durham,FORD,35.9799338290273,-78.8753112544758
For Sale Bmw 328I 2011 E90-Great Conition And Well Maintaned,6000.0,Mebane,FOR,36.0979012553761,-79.2470989840538
2018 Audi Q5,15500.0,Raleigh,AUDI,35.7644994062385,-78.7112023909721
Chrysler Pacifica,12000.0,Selma,CHRYSLER,35.5721993003425,-78.2707989547263
07 Subaru Forester,2800.0,Willow Spring,07,35.5469988976406,-78.6716963780421
2011 Toyota Camry,4500.0,Durham,TOYOTA,36.0917986819004,-78.9298980895306
2007 Hummer H3,5500.0,Creedmoor,HUMMER,36.1224015036523,-78.6861016829265
Ford F150 4Dr Lariat Supercrew,24999.0,Cary,FORD,35.8071985129606,-78.8869978746225
2019 Toyota Camry Se,15950.0,Raleigh,TOYOTA,35.8262992069758,-78.6491023603502
2018 Dodge Grand Caravan Clean,9450.0,Raleigh,DODGE,35.8262992069758,-78.6491023603502
2022 Honda Hrv Exl Loaded,15950.0,Raleigh,HONDA,35.8262992069758,-78.6491023603502
2 Fords,1.0,Wake Forest,UNKNOWN,35.9815014415547,-78.5391975960941
2007 Gmc Sierra 4 Door 8 Cylinder 155K Mi. Posi-Traction,11990.0,Fuquay Varina,GMC,35.5799989748072,-78.7908016985719
"Subaru Crosstrek 2019 For Sale By Owner Only 51,470 !",20600.0,Cary,SUBARU,35.7940262132512,-78.8757277947928
2004 Mercedes Benz E 500 E-Class Sedan 4Dr,5000.0,Sanford,MERCEDES,35.46980085616,-79.1717006030077
"2016 Jeep Compass Latitude Sport Utility 4D Suv, North Durham",8575.0,Durham,JEEP,36.0917986819004,-78.9298980895306
2007 Toyota Tundra,12799.0,Zebulon,TOYOTA,35.8322992210061,-78.320201667651
Chevrolet,3000.0,Clayton,CHEVROLET,35.6348012419929,-78.4509993379054
2004 Ford F-150 Supercab Xlt – Low Mileage!,8805.0,Cary,FORD,35.7956007012722,-78.7941002165983
2012 Volkswagen Passat Se Super Clean 2Nd Owner,6500.0,Cary,VOLKSWAGEN,35.8071985129606,-78.8869978746225
Low Good Car,5600.0,Cary,LOW,35.8052006091291,-78.816496563851
2006 Nissan Maxima,3000.0,Moncure,NISSAN,35.6256998074178,-79.0776965634812
2008 Chevy Colorado Z71 Crew Cab 4Wd,5500.0,Raleigh,CHEVROLET,35.7788565826682,-78.6444304624889
1970 Bronco,40000.0,Raleigh,BRONCO,35.8489992218599,-78.6549969501462
2019 Toyota Camry Se,23995.0,Cary,TOYOTA,35.8071985129606,-78.8869978746225
Nissan Hardbody Pickup,6500.0,Garner,NISSAN,35.6813007777699,-78.5975000624501
2004 Chevrolet Tahoe Lt 4Wd Sierra-Silverado-Tahoe-Yukon,7000.0,Rolesville,CHEVROLET,35.9277138826241,-78.3500304234217
2020 Mazda 6 Mazda6 Grand Touring,18450.0,Raleigh,MAZDA,35.8262992069758,-78.6491023603502
2016 Gmc Denali 2500Hd Duramax,38000.0,Princeton,GMC,35.4557989135634,-78.1674029910225
2017 Chevy Colorado Utility/Work 4 Door Truck With Power Lift Gate 2Wd/2.5 Liter,7500.0,Goldston,CHEVROLET,35.5720010569454,-79.3349013284061
"2017 Ford Transit 250 - $7,500 Or Best Offer (Raleigh,Nc)",7500.0,Raleigh,FORD,35.7644994062385,-78.7112023909721
1981 Ford Custom F100,7900.0,Durham,FORD,35.9631009019651,-78.9315035172724
In Hand,18000.0,Cary,IN,35.7299013497814,-78.7735035297801
"For Sale: 2008 Pontiac G6 Gt Hardtop Convertible – Rare Model, Runs Gr",2500.0,Zebulon,FOR,35.8321015505668,-78.3174010499485
2006 Linclon Town Car,3000.0,Raleigh,LINCLON,35.8333992999727,-78.5799010908158
"Chrysler Sebring Touring 2010 4Cyl $2,995",2995.0,Raleigh,CHRYSLER,35.8949017356143,-78.7051032552432
2016 Kia Forte5,6500.0,Raleigh,KIA,35.867300639751,-78.5380980900853
2004 Corvette Convertible 38K,25000.0,Garner,CORVETTE,35.6813007777699,-78.5975000624501
Corvair,3000.0,Winnabow,CORVAIR,34.1505666788579,-78.0555450136429
2002 Honda Odyssey Mechanics Special,600.0,Cary,HONDA,35.7299013497814,-78.7735035297801
1964 Plymouth Belvedere,6000.0,Durham,PLYMOUTH,35.9780997911252,-78.8438994163172
2002 Gt Mustang 5 Speed,8500.0,Angier,GT,35.4770951818495,-78.704061045014
2013 Chrysler Town And Country Handicap Wheelchair Accessible Van,15800.0,,CHRYSLER,35.9731001614052,-78.4508016674661
2006 Mustang 6 Cylinder,7000.0,Roxboro,MUSTANG,36.3950457622818,-79.007837538398
Stunning Low Mileage Volvo Xc40,20500.0,Apex,STUNNING,35.7014259203228,-78.7925704192854
2006 Honda Civic Dx,4100.0,Apex,HONDA,35.7225004539421,-78.8407985687302
2003 Dodge Dakota Crew Cab 2Wd 4.7,5900.0,Raleigh,DODGE,35.7076006864806,-78.6563015750456
2015 Freightliner,20000.0,Oak Island,FREIGHTLINER,33.9161003169893,-78.1255002956357
Honda Crv 11/2018,18000.0,Raleigh,HONDA,35.7644994062385,-78.7112023909721
2014 Ford Mustang Gt,29000.0,Sanford,FORD,35.513800577077,-79.1487989069797
2006 Acura Tl Second Generation,3500.0,Raleigh,ACURA,35.7204206171459,-78.6417232369071
1999 Gen3 4Runner Limited,4250.0,Cary,GEN3,35.7956007012722,-78.7941002165983
